LOC_PID,overlap_area,LOC_NAME,area,sa2,detail
loc96655641e3a2,"[(203021485, 0.000458792121592225), (203031489, 0.001462515655823077)]",Armstrong Creek,"[203031489, 0.7612084190855517]",203031489,"[[203021485, 0.23879158091444835], [203031489, 0.7612084190855517]]"
loc9901d119afda,"[(206051512, 6.640267000505736e-06), (206041505, 4.7747176546719974e-05), (206041503, 8.200746288699255e-05), (206041504, 5.743990069891806e-05), (206051128, 0.00010285787546475063), (206041506, 4.585006724570697e-06), (206041117, 0.00013553794545548886), (206041125, 0.00010114908940279263), (206041507, 3.356956217262918e-06), (206051514, 1.5606758807156316e-05)]",Melbourne,"[206041117, 0.24336689584199894]",206041117,"[[206051512, 0.011923016554842564], [206041505, 0.08573305506693851], [206041503, 0.1472495514936041], [206041504, 0.10313695019937497], [206051128, 0.18468777714341206], [206041506, 0.008232667613660318], [206041117, 0.24336689584199894], [206041125, 0.18161954441965897], [206041507, 0.006027625779092777], [206051514, 0.02802291588741651]]"
loc9a48431374e1,"[(206051130, 0.0002762599650123537), (206051511, 0.0007098291897281984)]",Port Melbourne,"[206051511, 0.7198428116927825]",206051511,"[[206051130, 0.2801571883072174], [206051511, 0.7198428116927825]]"
loc9e5f9467aed1,"[(201011481, 0.00024693291204499394), (201011482, 0.0005642277119925611)]",Brown Hill,"[201011482, 0.6955807459983888]",201011482,"[[201011481, 0.30441925400161124], [201011482, 0.6955807459983888]]"
loc9fe59dbd0874,"[(212031560, 0.0005599723171381066), (212031559, 0.0004887415602937151)]",Cranbourne North,"[212031560, 0.5339610061320192]",212031560,"[[212031560, 0.5339610061320192], [212031559, 0.4660389938679807]]"
loca1a84d46e52a,"[(209041431, 0.0007928761267175381), (209041433, 0.0016195565480544671), (209041432, 0.0007509923007327131)]",Epping,"[209041433, 0.5119630023139935]",209041433,"[[209041431, 0.2506385113783317], [209041433, 0.5119630023139935], [209041432, 0.2373984863076747]]"
loca1b6ce72e35a,"[(212051324, 0.0006638738608844662), (212051323, 0.0008911128782137494)]",Mount Waverley,"[212051323, 0.5730678312604344]",212051323,"[[212051324, 0.4269321687395655], [212051323, 0.5730678312604344]]"
loca2dba6250aa2,"[(214021592, 0.001510631806764466), (214021591, 0.0006576927815294579)]",Mornington,"[214021592, 0.6966815830618136]",214021592,"[[214021592, 0.6966815830618136], [214021591, 0.30331841693818645]]"
loca4e166a620d9,"[(212041459, 0.00038589937676068676), (212041460, 0.000484094149758497)]",Noble Park,"[212041460, 0.5564341974995403]",212041460,"[[212041459, 0.44356580250045974], [212041460, 0.5564341974995403]]"
loca4f3a116d4ba,"[(206011496, 0.0002399716543091354), (206011495, 0.00026863661106744555)]",Brunswick,"[206011495, 0.5281797983926649]",206011495,"[[206011496, 0.471820201607335], [206011495, 0.5281797983926649]]"
